Bank description; Nợ ; Có ; Nature 
REF222A25608S2M43C4 B/O 2220131688 CTY TNHH PT CONG NGHIEP HAU CAN BW HAI A F/O 00001549702 CTY CP XAY DUNG VA SX KANSAI VINA NHH01358002 BHA_Kansai Vina_Advance 30 percentage of contract value Roof Reinforcement works after Typhoon Yagi_Contract No. BWHAVD25002 dated 20 May 2025;;337.435.190,00;Operating expense
REF222A25608S2M5KS4 B/O 2220131688 CTY TNHH PT CONG NGHIEP HAU CAN BW HAI A F/O 0031000222404 CT TNHH DEEP C BLUE NHH31203001 BHA_DEEPC Blue_Payment of Water consumption and Wastewater treatment in May 2025_INVOICE 1285,1335;;4.785.964,00;Operating expense
REF222A25608S2M8XZ0 B/O 2220131688 CTY TNHH PT CONG NGHIEP HAU CAN BW HAI A F/O 0031000666668 CTTNHH NANG LUONG XANH DEEP C VN NHH31203001 BHA_DEEPC Green_Payment of Power consumption and Power Management fee in May 2025_INVOICE 1815,1965;;89.193.362,00;Operating expense
PHI QUAN LY TAI KHOAN 222xxx668 T06 2025;;55.000,00;Operating expense
DVL_IMPC_FM Service in MAY.25;;38.733.276,00;Operating expense
DVL_IMPC_Payment for Defect Rectification va Renovation Quarter 4 2024.;;155.402.928,00;Operating expense
REF222A25608S2LZY50 B/O 2220151668 CTY TNHH PT CONG NGHIEP HAU CAN BW DINH F/O 0031000003058 Cong ty Co phan Khu Cong nghiep Dinh Vu NHH31203001 DVL_KCN Dinh Vu_ EMF fee in May 2025;;177.423.321,00;Operating expense
REF222A25608S2MCH1M B/O 2220151668 CTY TNHH PT CONG NGHIEP HAU CAN BW DINH F/O 0031000666668 CONG TY TNHH NANG LUONG XANH DEEP C VIET NAM NHH01203005 DVL_DEEPC Green_ Power Consumption and Power Management fee in May 2025;;31.428.768,00;Operating expense
REF222A2560F32JV7JN B/O 2220151668 CTY TNHH PT CONG NGHIEP HAU CAN BW DINH F/O 00001549702 CONG TY CP XAY DUNG VA SAN XUAT KANSAI VINA NHH01358002 DVL_ Kansai Vina_ Advance 30 contract value Works after Typhoon Yagi;;277.619.154,00;Operating expense
REF222A2560PDD0BRQZ B/O 2220151668 CTY TNHH PT CONG NGHIEP HAU CAN BW DINH F/O 19033771311012 NGUYEN THU THUY NHH01310005 DVL_NguyenThuThuy_Office expense for BW Dinh Vu Office in May.2025;;3.323.462,00;Operating expense
Thanh toan lai tai khoan tien gui 814006107925 so tien 29216438 VND;29.216.438,00;;Other receipts
Thanh toan lai tai khoan tien gui 812006016470 so tien 47476712 VND;47.476.712,00;;Other receipts
PHI QUAN LY TAI KHOAN 222xxx668 T06 2025;;55.000,00;Operating expense
REF222A25608S2LZ7Z0 B/O 2220757668 CTY TNHH PT CONG NGHIEP BW BAC TIEN PHON F/O 1013836868 CONG TY CO PHAN KHU CONG NGHIEP BAC TIEN PHONG NHH01203006 BTP_BTPIZ_EMF fee in May 2025;;178.266.000,00;Operating expense
REF222A2560F32JVTU7 B/O 2220757668 CTY TNHH PT CONG NGHIEP BW BAC TIEN PHON F/O 00001549702 CONG TY CP XAY DUNG VA SX KANSAI VINA NHH01358002 BTP_ Kansai Vina_ Advance 30 contract value Works after Typhoon Yagi;;317.416.806,00;Operating expense
REF222A2560F32JWGD5 B/O 2220757668 CTY TNHH PT CONG NGHIEP BW BAC TIEN PHON F/O 11123438844011 CTY CP SKY LINK NHH79310001 DCQN_ Sky Link_ Advance payment 30 contract value Rolling door reinforcement work after Typhoon Yagi;;59.994.000,00;Operating expense
REF222A2560PDD0E1C2 B/O 2220757668 CTY TNHH PT CONG NGHIEP BW BAC TIEN PHON F/O 1013836868 CONG TY CO PHAN KHU CONG NGHIEP BAC TIEN PHONG NHH01203006 BTP_BTP IZ_ Water consumption and Wastewater treatment fee in May 2025;;2.279.646,00;Operating expense
REF222A2560PDD0EEJ1 B/O 2220757668 CTY TNHH PT CONG NGHIEP BW BAC TIEN PHON F/O 1013836868 CONG TY CO PHAN KHU CONG NGHIEP BAC TIEN PHONG NHH01203006 BTP_BTPIZ_EMF fee in June 2025;;178.266.000,00;Operating expense
REM Tfr Ac:2220830888 O@L_020001_212001_0_0_97164722_PD18007265621_TT  tien dien T5 Cong ty TNHH Phat trien cong nghiep BW Phu Nghia-PD18007265621-HD:1392291283;;2.044.721,00;Operating expense
PHI QUAN LY TAI KHOAN 222xxx888 T06 2025;;55.000,00;Operating expense
REF222A2560J7NTNHGW B/O 2220830888 CTY TNHH PT CONG NGHIEP BW PHU NGHIA F/O 114000087901 CTCP DAU TU SUOI NGOC NHH01201001 BWP_Suoi Ngoc_Payment of Water consumption fee in May 2025_INVOICE 391;;235.200,00;Operating expense
Thu no GOC KU659541;;4.400.000.000,00;Loan repayment
PHI QUAN LY TAI KHOAN 222xxx979 T06 2025;;55.000,00;Operating expense
BDH_Trung Viet Trung_Booth registration at Vietnam International Electronics Industry Expo 2025 First payment 50;;28.008.642,00;Operating expense
BDH_NTTHa_Meeting expense;;432.000,00;Operating expense
BW Dong Hai_NDV Esco_Power consumption fee in MAY 2025;;22.269.759,00;Operating expense
222225061067251 F/O /513182049129 CHANGZHOU CHUHAITONG CONSULTING SER /RFB/MD1.2/BWID DONG HAI PMT SERVICE FEE CTR NO BWDH/VD/25013 ANDINV NO 20250509001 DD 2025.05.22;;130.450.000,00;Operating expense
REF222A25608HN1XHVN B/O 2220987979 CTY TNHH PT CONG NGHIEP BW DONG HAI F/O 0010100021271007 CTY TNHH DAU TU PHAT TRIEN SPV5C NHH01333003 BDH_Repayment principal loan to SPV5C tra goc vay cho SPV5C;;4.273.279.062,00;Internal transfer out
REF222A25608S2MJZ6T B/O 2220987979 CTY TNHH PT CONG NGHIEP BW DONG HAI F/O 0851000010555 CONG TY CO PHAN MOI TRUONG THUAN THANH NHH01203001 BDH_MTTT_Refund the different amount after selling scrap;;17.998.000,00;Operating expense
REF222A25608S2MMRNL B/O 2220987979 CTY TNHH PT CONG NGHIEP BW DONG HAI F/O 00001549702 CTY CP XAY DUNG VA SX KANSAI VINA NHH01358002 BDH_Kansai Vina_Advance 30 contract value Works after Typhoon Yagi;;378.123.599,00;Operating expense
REF222A2560J7NTGEBH B/O 2220987979 CTY TNHH PT CONG NGHIEP BW DONG HAI F/O 680201826886 CONG TY CO PHAN CREW 24 NHH31311002 BDH_CREW24_FM Service MAY 2025_INV 86;;94.600.000,00;Operating expense
Thanh toan lai tai khoan tien gui 810005865740 so tien 89475342 VND;89.475.342,00;;Other receipts
REM Tfr Ac:2221133456 O@L_021001_212001_0_0_93793942_PM17000096329_TT tien dien  1/5/2025 Cong ty TNHH Mot Thanh Vien Phat trien cong nghiep BW Hai Duong HD 03 PM17000096329 HD:1612416249 So tien: 45042480 VND;;45.042.480,00;Operating expense
PHI QUAN LY TAI KHOAN 222xxx456 T06 2025;;55.000,00;Operating expense
REM 9901CI250610000032844 B/O CONG TY TNHH LINKCONN ELECTRONICS VIET N F/O-2221133456 BWID HD 03 DTLS-REF/202506101010011000522101203008 LINKCONN ELECTRONICS VIETNAM CO., LTD-TT PHI QUAN LY NUOC VA XU LY NUOC THAI T05 HD 00000080 Bank Charge .00 VAT .00;4.795.009,00;;Receipt from tenants
REM 9901CI250605000071436 B/O TREASURE GRAND TECHNOLOGY LIMITED F/O-2221133456 BWID HD 03 DTLS-REF/202506051010011000098579629001 TREASURE  BWID TT PHI DV HD83 Bank Charge .00 VAT .00;6.360.686,00;;Receipt from tenants
REM 9901CI250610000099054 B/O CONG TY TNHH TRUSTTAG VIET NAM F/O-2221133456 BWID HD 03 DTLS-REF/202506101010011001472601203010 Thanh toan phi xl nuoc thai 05,2025 Bank Charge .00 VAT .00;4.506.815,00;;Receipt from tenants
REF222A2560F32JNY41 B/O 2221133456 CTY TNHH MTV PT CONG NGHIEP BW HAI DUONG F/O 113002179928 CONG TY TNHH VSIP HAI DUONG NHH01201001 HD3_VSIP HD_Payment of Water consumption and Wastewater treatment in MAY 2025_INVOICE 00000172;;38.646.493,00;Operating expense
PHI QUAN LY TAI KHOAN 222xxx789 T06 2025;;55.000,00;Operating expense
PHI QUAN LY TAI KHOAN 861xxx832 T06 2025;;55.000,00;Operating expense
CT DEN:285T2560761P8PKD CONG TY TNHH EULER TECHNOLOGY VIET NAM chuyen tien phi dich vu T05.2025- HD 69;2.277.298,00;;Receipt from tenants
Cimiya TT tien nuoc sach theo HD so 0000060;4.943.540,00;;Receipt from tenants
CONG TY TNHH CONG NGHE IN AN VA BAO BI WARTON VIET NAM TT TIEN PHI QUAN LY VA XU LY NUOC HD 62 T05.2025;4.617.682,00;;Receipt from tenants
So GD goc: 10004550 thanh toan tien nuoc sach va xu ly nc thai thang 04.2025;2.318.459,00;;Receipt from tenants
CT DEN:515705840185 ITL mien Bac thanh toan INV 65 cho DVH CT TNHH DICH VU QUAN LY CONG NGHIEP HN;4.959.143,00;;Receipt from tenants
CT DEN:250613193280 CT Gia Viet thanh toan hoa don so 71;5.503.784,00;;Receipt from tenants
CT DEN:285T2560DV2UDVZV Cty TONGFANG TT tien nuoc, phi su ly nuoc thai hd 64 t5/25;2.611.796,00;;Receipt from tenants
So GD goc: 10000748 BWID WATER FEE .000057;2.441.689,00;;Receipt from tenants
So GD goc: 10000103 Water charges in May 2025 ChargeDetails OUR;2.837.295,00;;Receipt from tenants
So GD: 640A25603U6EPNDW BB01_IMPC_Minor defects 2.25_Inv no.166;;4.428.000,00;Operating expense
So GD: 640A25603U6FJ7G4 BB01_YG_Galvanometer installation for 17B3 CD_Inv no.105;;37.800.000,00;Operating expense
So GD: 640A25603U6GDRES BB01_YG_Galvanometer installation for 17B3-AB_Inv no.106;;37.800.000,00;Operating expense
So GD: 640A2560DP7XT625 BB01_KMG_Defect rectification A17A15 - A17A16_BWBB1.VD.25007_1st and 2nd payment_Inv no.35, 36;;414.043.870,00;Operating expense
So GD: 640A2560DP7ZYZPR BB01_KMG_Defect rectification A17A15 - A17A1_BWBB1.VD.25005_2nd payment_Inv no.33;;405.162.000,00;Operating expense
So GD: 640A2560DP820T7T BB01_KMG_Renovate dock pit for RBF 17A15_Inv no.34;;42.910.052,00;Operating expense
So GD: 640A2560J85JX8NS BB01_KMG_WWTP renovation_BWBB1.VD.25016_Advanced payment;;1.300.796.575,00;Operating expense
So GD: 640A2560L10U4AS9 BB01_IMPC_Defect rectification for A-18A3-C, A-18A19-B, A-17A3-D, A-18A30, A-17B5-D _BWBB1.VD.25010_Inv no.216;;368.648.064,00;Operating expense
CTY TNHH SX JU YUAN TT HOA DON 75;40.239.601,00;;Receipt from tenants
So GD: 902A25603U6FZR95 NT2_KCN.LK_ Water+ Wastewater fee in 05/2025_Inv no.00000050;;137.482.350,00;Operating expense
So GD: 902A25605MBU210J NT2_IDICO_ Electricity fee in 05/2025_Term 3_Inv no.00015681, 00015682;;62.153.881,00;Operating expense
CT DEN:515507806096 Thanh toan phi nuoc sach va phi xu ly nuoc thai sinh hoat thang 42025, hoa don 00089;3.386.946,00;;Receipt from tenants
So GD: 902A2560DP84DG19 NT2_ADP_Street light and camera installation_Inv no.27;;106.380.000,00;Operating expense
CT DEN:902T2560DPGSN7S4 TT tien nuoc HD 91 cho CTY TNHH PHAT TRIEN CONG NGHIEP BW NHON TRACH- DU AN 2;6.258.000,00;;Receipt from tenants
So GD goc: 10000789 TT VNMN2A5D0 N UTILITIES;38.714.353,00;;Receipt from tenants
So GD goc: 10002892 TT TIEN PHI QUAN LY T5.2025;493.462,00;;Receipt from tenants
shuifei;4.530.881,00;;Receipt from tenants
So GD: 902A2560J851C2XW NT2_KMG_100% Payment for ALC wall partition installation _A1.2.F2 & A1.3.F2_Inv no.38;;1.273.606.200,00;Operating expense
CT DEN:516220064506 WASTEWATER TREATMENT COST AND FEE FOR USING CLEANING WATER IN MAY. INV. 00000087;403.742,00;;Receipt from tenants
CTY HUATEX VN TT THEO HD SO 98;9.757.096,00;;Receipt from tenants
CTY TNHH SX JU YUAN TT HOA DON 94 XLNT T5.2025;48.740.607,00;;Receipt from tenants
CT DEN:516505962598 Thanh toan tien phi dich vu xuong A1-3.F2 tu ngay 1.6.2025 den 30.6.2025 dien tich 2634m2. don gia 10288dm2thang;29.808.451,00;;Receipt from tenants
TTHD Tien dien Ma KH-PE09000203451 Ma HD-Ky 250630TD-T05.2025/0;;403.364.748,00;Operating expense
So GD goc: 10004331 SPX WH_Rent 50SOCMC TT cp thue kho tu 01/06/25-30/06/25;6.019.818.750,00;;Receipt from tenants
So GD goc: 10001749 CT THUAN PHONG TT CP THUE KHO 202506 INV 69 CT tu 0531002562100 CTTNHH MTV CHUYEN PHAT NHANH THUAN PHONG  toi 110610727979 CT TNHH PT CONG NGHIEP BW TAN PHU TRUNG NH Cong thuong VN (Vie;4.848.155.510,00;;Receipt from tenants
TTHD Tien dien Ma KH-PE09000203451 Ma HD-Ky 250710TD-T06.2025/0;;371.275.432,00;Operating expense
CTY DEYISHI THANH TOAN CTY VINA PARTNERS HD: 39 29/05/2025;177.438.310,00;;Receipt from tenants
So GD: 902A25603U6CF4UZ BDG_KCN.DG_ Water+ Wastewater fee in 05/2025;;18.923.524,00;Operating expense
So GD: 902A25603U6DAAEJ BDG_VNPT_ FM service fee in 04/2025;;184.440.000,00;Operating expense
So GD goc: 10000436 WUSHUICHULI;2.974.531,00;;Receipt from tenants
TTHD Tien dien Ma KH-PK02000204856 Ma HD-Ky 101530433099TD-T05.2025/0;;4.552.634,00;Operating expense
TTHD Tien dien Ma KH-PK02000204863 Ma HD-Ky 101530434151TD-T05.2025/0;;2.753.539,00;Operating expense
TTHD Tien dien Ma KH-PK02000204862 Ma HD-Ky 101530435216TD-T05.2025/0;;111.549.966,00;Operating expense
TTHD Tien dien Ma KH-PK02000204859 Ma HD-Ky 101530435193TD-T05.2025/0;;4.894.613,00;Operating expense
TTHD Tien dien Ma KH-PK02000204860 Ma HD-Ky 101530435204TD-T05.2025/0;;850.667,00;Operating expense
So GD goc: 10000280 THANH TOAN TIEN THUE XUONG A4 HD 34;158.607.680,00;;Receipt from tenants
So GD goc: 10000097 SECURITY DEPOSIT VND 3,376,467,540 AND FITOUT DEPOSIT VND65,000,000;3.441.467.540,00;;Receipt from tenants
So GD goc: 10000096 RENTALS(A5,A6) 2025/07-2025/09 VND1,857,057,150;1.857.057.150,00;;Receipt from tenants
So GD goc: 10002262 INV/BDG/000115 - Additional booking fee;1.011.121.092,00;;Receipt from tenants
So GD: 902A25608GHQD3NR BDG_YG_100% Payment for contract VPI.XD.25002.;;1.156.679.175,00;Operating expense
So GD: 902A25608GJ9UAVX BDG_YG_ 100% Payment for contract VPI.VD.25006.;;2.663.280.000,00;Operating expense
So GD: 902A25608GJRMRRT BDG_YG_ 100% Payment for contract VPI.XD.25001.;;1.833.840.000,00;Operating expense
So GD goc: 10000223 THANH TOAN TIEN PHI QUAN LY HD 37;5.063.689,00;;Receipt from tenants
So GD: 902A2560DP0MH7TS BDG_ALC wall partition installation C6,7;;938.584.800,00;Operating expense
So GD goc: 10002850 PHI GIU CHO UNIT F4;166.728.888,00;;Receipt from tenants
So GD: 902A2560L0YUQNQM BDG_KMG_ 3rd Payment for contract VPI.VD.25003.;;495.390.384,00;Operating expense
So GD: 902A2560L0YXEH5F BDG_KMG_ 3rd Payment for contract VPI.VD.25007.;;328.479.408,00;Operating expense
BLB_LIENLUU_Claim back meeting expense inv641;;1.664.280,00;Operating expense
BLB_AMATA_ Water+ Wastewater fee in 05/2025.;;4.138.845,00;Operating expense
CONG TY CONG TY TNHH MTV SX TM THUC PHAM YEN NHUNG  THANH TOAN PHI QUAN LY NHA XUONG 49B CNT4/25 THEO HOA DON 187;4.434.118,00;;Receipt from tenants
So GD goc: 10000013 WATER AND ELECTRICITY;1.125.872,00;;Receipt from tenants
So GD goc: 10009287 CT TNHH SPITFIRE CONTROLS (VIETNAM) TT HD 223;7.744.000,00;;Receipt from tenants
So GD goc: 3585130345Y25 NHCT CN 1TPHCMHCM PAYMENT TO VENDOR;8.518.400,00;;Receipt from tenants
So GD goc: 10000458 DN-L2506-14                        LE CHUYEN TIEN PHI QUAN LY NHA XUONG HD 221;6.640.867,00;;Receipt from tenants
So GD goc: 10000266 HANGCHA PMT WATER OF MAY;1.067.485,00;;Receipt from tenants
So GD: 902A2560DP0PZ6UZ BLB_ECOBUY_ Consultancy service fee;;188.843.761,00;Operating expense
"So GD goc: 10006228 Takagi thanh toan phi quan ly, thue xuong Cn Long Binh/ Management fee; factory for rent Inv.240;237";630.644.550,00;;Receipt from tenants
So GD goc: 10002141 CTY TNHH FRIWO VN Payment for inv 1C25TBA.00000233;20.961.072,00;;Receipt from tenants
STV Craft VN thanh toan tien thue xuong 26A-duong 3B thang 05/25 theo HD 208;213.663.226,00;;Receipt from tenants
BLB_ AMATABIENHOA _ Water + Wastewater fee on May 2025;;93.639,00;Operating expense
BLB_Amata_RBF53 _Water and Waste Water fee in May 2025;;3.146.270,00;Operating expense
BLB_Amata_RBF60 _Water and Waste Water fee in May 2025;;692.929,00;Operating expense
BLB_Amata_ Water and Waste Water fee in May 2025;;7.584.759,00;Operating expense
So GD goc: 10000665 CTY KHUON MAU SANG TAO THANH TOAN HD 00000218  CHO CONG TY TNHH PHAT TRIEN CONG NGHIEP LONG BINH;7.681.661,00;;Receipt from tenants
So GD: 902A2560F193BXPX BLB_DLAMATA_Electric fee in May 2025;;1.032.234,00;Operating expense
So GD: 902A2560F1950VNY BLB_Amata_RBF53_ Electricity fee from 1/5/2025 to 31/5/2025;;78.379.568,00;Operating expense
So GD: 902A2560F197C6KT BLB_DUONGLINH_Meeting expenses inv548;;998.000,00;Operating expense
So GD: 902A2560F198PH6U BLB_Amata_RBF 26B_ Electricity fee from 1/5/2025 to 31/5/2025;;37.265.460,00;Operating expense
So GD goc: 670A2560EY2FEXB1 SILK TT 1C25TBA00000215 1C25TBA00000216;9.520.280,00;;Receipt from tenants
So GD goc: 10005967 HANGCHA PMT FOR WATER OF MAY;1.067.485,00;;Receipt from tenants
So GD goc: 10005968 HANGCHA PAYMENT ELECTRIC FEE;811.994,00;;Receipt from tenants
So GD goc: 10002244 /Ref:P16102270N4100020{//}LONG BINH_INV 225_PO 7000256684 DVC:HUNTSMAN VIETNAM COMPANY LIMITED NO. 225/3, STREET NO. 13, LONG BINH INDUSTRIAL PARK (AMATA) LONG BINH WARD, DONG NAI BIEN HOA CITY VN;12.003.200,00;;Receipt from tenants
So GD goc: 3185659030Y25 VIETINBANK HOHN PAYMENT FOR INVOICE NO 00000241;7.210.438,00;;Receipt from tenants
GUI TIEN GUI KY HAN 1 THANG THEO HDTG SO 902/2025/18909 NGAY 13/06/2025;;4.000.000.000,00;Internal transfer out
So GD goc: 10003081 NAXIS TT BW INDUSTRIAL HD 234;8.096.000,00;;Receipt from tenants
TTHD Tien dien Ma KH-PB04040083636 Ma HD-Ky 101530407388TD-T05.2025/0;;8.427.109,00;Operating expense
TTHD Tien dien Ma KH-PB04040080465 Ma HD-Ky 101529948102TD-T05.2025/0;;8.845.680,00;Operating expense
TTHD Tien dien Ma KH-PB04040083638 Ma HD-Ky 101529947240TD-T05.2025/0;;93.798.835,00;Operating expense
TTHD Tien dien Ma KH-PB04040083639 Ma HD-Ky 101529949605TD-T05.2025/0;;74.349.647,00;Operating expense
TTHD Tien dien Ma KH-PB04040083640 Ma HD-Ky 101529949269TD-T05.2025/0;;105.550.282,00;Operating expense
TTHD Tien dien Ma KH-PB04040084886 Ma HD-Ky 101530420479TD-T05.2025/0;;5.014.476,00;Operating expense
TTHD Tien dien Ma KH-PB04040084885 Ma HD-Ky 101530413274TD-T05.2025/0;;315.304,00;Operating expense
CT DEN:515608437720 TT phi su dung dien T05.25 - HD 155 ngay 30.05.2025;16.345.483,00;;Receipt from tenants
So GD goc: 651A25608TW3CB7U TT cho NCC T6 HD165Pay for rental Factory in Jun 2025;612.584.758,00;;Receipt from tenants
So GD goc: 652A2560DP0CBKDD CLICK TT CT TNHH PT CONG NGHIEP BW MY PHUOC 3 PHI DIEN SOLAR X1 THEO HD157 NGAY30 T05 N2025;44.740.411,00;;Receipt from tenants
So GD goc: 652A2560DP0C8CEU CLICK TT CT TNHH PT CONG NGHIEP BW MY PHUOC 3 PHI DIEN SOLAR X2 THEO HD156 NGAY30 T05 N2025;29.844.417,00;;Receipt from tenants
So GD goc: 10010471 Phi thue xuong tu 01/06/2025-30/06/2025;4.863.976.560,00;;Receipt from tenants
So GD goc: 10010395 Phi thue Xuong giai doan 8 tu 01/06 den 30/06/2025 HD so 164 ngay 06/06/2025;1.411.836.525,00;;Receipt from tenants
Lembak VN pays for factory rental inv 158;341.312.885,00;;Receipt from tenants
So GD: 640A2560J860DCN9 MP3_KMG_WWTP renovation_BWBB1.VD.25016_Advance payment;;1.265.712.731,00;Operating expense
CT DEN:285T25603NJ5FND0 SHDC TT phi xu ly nuoc thai theo hd 141 ngay 26.05.2025;2.831.147,00;;Receipt from tenants
So GD goc: 10001599 CTY TNHH PVTECH LIGHTING (BW VN) TT TIEN NUOC VA XU LY NUOC THAI T5.2025 THEO HD SO 155-26.05.2025;5.450.580,00;;Receipt from tenants
CT DEN:515506834201 CHIEN CHIH KUANG transfer;200.037.849,00;;Receipt from tenants
TTHD Tien dien Ma KH-PM17000092634 Ma HD-Ky 1612416000-T05.2025/17$1;;61.533.998,00;Operating expense
So GD goc: 10008338 CTY GRETEC TT TIEN NUOC T5 HD 145   - BW;8.266.096,00;;Receipt from tenants
CT DEN:285T25608TRU7Y31 CTY SUNLU THANH TOAN TIEN HD 157- CTY BW HAI DUONG;7.110.450,00;;Receipt from tenants
FLYIN TT PHI XU LY NUOC THAI, PHI QUAN LY NHA XUONG T05.2025, HD: 148;2.909.914,00;;Receipt from tenants
So GD goc: 10000218 JYSP VN PAYMENT INVOICE 00000140;1.608.013,00;;Receipt from tenants
So GD: 285A2560J78YLR4V BHD_Payment for postage fee Inv 00000250, Stationery expense Inv 00002723;;2.145.809,00;Operating expense
So GD: 285A2560J78Z6YQQ BHD_EES_Payment Operation of WWTP system in APR 2025 Inv 00000113, Sludge removal fee Inv 00000104;;47.853.720,00;Operating expense
BHD_VSIP HD_Payment Water Consumption and Wastewater Treatment in MAY 2025 Inv 00000170;;54.714.011,00;Operating expense
So GD goc: 10003017 BOCHENG PAY BW SO:00000158 date: 26/05/2024;2.840.680,00;;Receipt from tenants
So GD goc: 460A2560L31YJSE3 CONG TY TNHH AUDEN TECHNO VIET NAM THANH TOAN TIEN NUOC T5 HD 143;2.909.914,00;;Receipt from tenants
So GD goc: 10000051 THANH TOAN CHI PHI TIEN NUOC CHO BEN BW CUA THANG 05/2025;2.471.432,00;;Receipt from tenants
SHENG SHING VN HD THANH TOAN TIEN NUOC NHA XUONG T5 HD 149CHO BW;37.236.061,00;;Receipt from tenants
Tra lai TK tien gui 211000396185;42.805.479,00;;Other receipts
Tra lai TK tien gui 216000453618;57.073.973,00;;Other receipts
BDU152425-0021613/946N2560246T7446/NOP NSNN;;10.510.194,00;Operating expense
GIAI NGAN HOAN VON DU AN BCI / REFINANCING BCI PROJECT;17.400.000.000,00;;Refinancing
So GD: 285A256056A4MRB9 GTC_VC3_Repayment sharehoder loan/ Tra goc vay noi bo;;17.400.000.000,00;Internal transfer out
So GD: 946A25603U6B3CMA DAL-BIWASE- Water consumption in 05.25-8108.0400.04;;5.534.550,00;Operating expense
So GD goc: 10003177 TT TIEN PHI DAT COC DAM BAO HOP DONG THUE KHO DC THEO THONG BAO THANH TOAN SO:INV/DAL/000048;4.522.940.100,00;;Receipt from tenants
So GD goc: BNK5155780372246 TT TIEN PHI DAT COC SUA CHUA HOP DONG THUE KHO DC THEO THONG BAO THANH TOAN SO INV/DAL/000049/;90.000.000,00;;Receipt from tenants
TTHD Tien dien Ma KH-PB04030118035 Ma HD-Ky 101534898927TD-T05.2025/0;;10.713.886,00;Operating expense
"BDU152425-0022966/946N25606VX1JZFU/NOP NSNN&tb;&tb;";;6.500.000,00;Operating expense
Thu phi duy tri dich vu IB 06/2025;;25.000,00;Operating expense
VAT;;2.500,00;Operating expense
DAL - ICIC - CS Contract - PR.11;;154.440.000,00;Construction expense
So GD: 946A2560DP0UJY57 DAL_TGEC_Remove the optic cable_DALID.VD.25003;;194.400.000,00;Operating expense
HDTG KH 1THT LS RGLH;;7.000.000.000,00;Internal transfer out
So GD goc: 10009903 18294/QD-CCTKV16-KDT_11/06/2025_13676/LH-CCTKV16-KDT;10.782.708.650,00;;VAT refund
So GD: 946A2560L0YZM5Z1 DAL_Ba Duong_Replace parts after maintenance in Mar.25;;15.539.175,00;Operating expense
So GD: 285A25603U7GPUX9 XA2 VNPT FM service fee in 04 2025;;77.545.459,00;Operating expense
So GD: 285A25603U7H5L0B DHL Oversea Courie Fee in May 2025 Invoice No 71071 75292;;8.062.121,00;Operating expense
So GD: 285A25603U7HKFAN THAONGUYEN Claim for pantry in 04 2025;;43.345.123,00;Operating expense
So GD: 285A25603U7J13NS ANHPHUOC Stationery for HCM office in 04 05 2025;;17.362.658,00;Operating expense
So GD: 285A25603U7JJ9GX TAT HAI NGAN ChatGPT Account 202505;;522.660,00;Operating expense
So GD: 285A25603U7JZ9X7 Nguyen Hai An Claim health check fee 2025 for Hai Phong team;;2.644.000,00;Operating expense
